Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_22_4b	Bo_23_4b	Bo_20_4b	Bo_21_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19
AABR07070312.1	1.49712426082243	1.32820472937272	1.83452864575307	1.53521590090332	-0.971963781402003	-1.03502198282272	-0.365934067201839	-1.09496253587978	-0.618869438538055	-0.580885938029194	-0.723183105009886	-0.718882656358136	-0.0679137625559925	0.228401758114531	-0.317937317631154	0.0720792904627009
Oprk1	1.33642852650734	1.06448317125066	2.15887760911367	1.37238423023489	-0.691169557144569	-0.63154720527262	-0.778056041098633	-0.683245054812081	-0.875430431940611	-0.850669148946253	-0.91572831592578	-0.91673290868379	-0.232204867785669	-0.0661526699413016	0.12045871927361	0.588303945171134
Has3	0.861018769249381	2.26121803326054	1.87717107746188	0.75685555665168	-0.45203245971763	-0.39763789129332	-0.538989698015506	-0.483211745757376	-0.835046701282945	-0.719197524446974	-1.14096508883048	-1.03271194528892	-0.47055959183821	0.314925881563408	-0.360305134450483	0.359468462734948
Slc10a4	1.57700349535984	1.98040644432244	0.880426114723888	1.61595639710362	-0.673107959151547	-0.69073297906339	-0.776170780641579	-0.644897651330985	-0.782722523359256	-0.762222736524486	-0.81006438563621	-0.808162766296483	-0.589936400831066	-0.136934224903069	-0.000385805123473388	0.621545761351754
Lhfpl1	1.46619115864961	1.12933665295301	1.83502096024669	1.63009034542365	-0.75478163138384	-0.755997951150551	-0.987998906109083	-0.755685150955417	-0.527261125963408	-0.74474443477193	-0.986420829244664	-0.435961712862218	-0.597843426160008	0.0894988477931207	-0.261157358633243	0.657714562168283
Cdhr1	0.820399087888978	2.64377005858211	1.33941091143061	0.706077978229876	-0.422957364472708	-0.395398719281329	-0.344089768294865	-0.48377090031078	-0.901461349135962	-0.858870694230044	-1.02493251004141	-0.972365708067661	-0.164345892511263	0.49563587275393	-0.689042846168167	0.251941843628677
Dysf	1.38671504315563	1.35446674537755	1.87085778438676	1.4955140702374	0.0638675005801735	-0.0634383008366792	0.124556608168997	-0.000999778189443588	-0.744187250967071	-0.894460540331367	-1.40485158743335	-0.903055353264348	-0.563998629169867	-0.671270247667429	-0.426091048466296	-0.623625015580661
LOC691995	1.43666209637759	1.23054347678538	1.59991454391156	1.48170759101249	-0.785632152506312	-0.642242183542467	-0.0759439004872355	-0.950038099059082	-1.11074647824994	-1.06643954710284	-0.850964901345363	-1.10210095802026	0.438639723026529	-0.0864191169208515	0.0154959577923232	0.467563948328474
Lhx8	1.55036520664642	1.98046071269848	1.41552977384165	1.58369464717237	-0.648708158973728	-0.657589995174923	-0.666366167496778	-0.64876289438196	-0.675248461405797	-0.66605727625494	-0.68401444904633	-0.68401444904633	-0.57898248030464	-0.35306162939628	-0.371549129081011	0.104304750203789
Gprin3	1.28247233149956	1.36025667833191	1.75886055725372	1.33343278596792	-0.696305144282259	-0.636146090654429	-0.714359575045122	-0.724440375846828	-0.985649205179609	-1.03282630821287	-1.12562896850868	-0.981763156589824	0.125967289257003	0.15148163682929	0.511017940330174	0.373629604850052
AABR07040095.1	1.47745341011277	1.24300197397278	1.55744039681362	1.51382329489937	-0.318211128714725	-0.294392344920171	-0.864419089469994	-0.118630851952595	-1.25062838447313	-1.33629706492509	-1.01082267570756	-1.07557551092464	0.151504357203073	0.21318802755759	0.0913011100775517	0.0212644804511561
Meis2	1.10639190178615	2.10864504168777	1.38483713275641	1.08584331680488	-0.696159851410578	-0.745153680866597	-0.484712494487928	-0.78995242837754	-0.997373132951256	-0.924004220590749	-1.00076526214086	-1.06873789603016	0.133734520351211	0.0983339864859736	0.357941089737572	0.431131977245699
Rtl9	1.3043814388849	1.08456566190039	2.37138293953232	1.4723523513697	-0.386968672497607	-0.505664802142559	-0.965059308029548	-0.158713499095125	-0.627608713527508	-0.711758678514154	-0.844315182275027	-0.552249311068753	-0.629701961404987	-0.236265348223798	-0.759759386654059	0.145382471745816
AABR07040887.1	1.72836265274354	0.521140935450121	1.78813712398925	1.93040726380858	0.0237456481791772	-0.0381391590679215	-0.0659262336777861	-0.126785370928674	-0.960621704516283	-1.04723189335227	-1.018474062617	-0.821280098411221	-0.641830671492611	-0.659408555986057	-0.427400295442264	-0.184695578678581
Ecel1	1.63219811512936	1.56032726601936	1.37055675703898	1.72066569586037	-0.714622851337906	-0.688168149903073	-0.426541299722164	-0.772464889638748	-0.841845105945573	-0.836501424333378	-0.84311342572654	-0.847123238997956	-0.507740737790398	-0.0452989184213729	-0.174970008673123	0.41464221644216
Zar1	1.67740054841	1.45240872042483	0.94900105083458	1.94332393790007	-0.649368909047598	-0.7186401872449	-0.787087370985225	-0.581062259715527	-0.856362218940544	-0.854704117262063	-0.786466032655613	-0.858168042683362	-0.487841407323535	-0.0818991081880393	-0.0241063059272398	0.663571702404169
Htr1d	1.11510309846794	2.43400154248338	1.21285715557391	1.04882037947099	-0.606530858474346	-0.657503799293045	-0.757762898970689	-0.581880503909389	-0.78394925774755	-0.754676624556062	-0.832878946420087	-0.812278428081542	-0.654248943400727	-0.297820015595772	0.287551182172302	0.641196918280686
Stk32a	1.12621979229464	1.48982349317007	1.9485233134162	1.11317119087367	-0.869415099801886	-0.879725953152895	-0.897803671116238	-0.855970742714143	-0.816225514672411	-0.780450142674012	-0.810784392615794	-0.856423784863641	-0.215037121394224	0.157546195243812	0.492308748673071	0.654243689333776
Ngef	1.1257422451609	1.90410001150397	1.3986027007321	1.19753557007872	-0.15966474293259	-0.25299757015195	-0.842969858747958	-0.00307968165871594	-1.16115776125329	-0.982292138015411	-1.20629956789779	-1.34430235341096	0.0346951670979333	-0.354951743924309	0.372514590600351	0.274525132819005
Slc18a3	1.56199948595238	1.7188753136213	1.28094408439235	1.62737368912866	-0.66340335459699	-0.6725058899776	-0.776789465330689	-0.62016664580448	-0.785967034236499	-0.793157242762329	-0.811464466290671	-0.796228793672054	-0.647715119411847	-0.0811999409698378	-0.197575466064622	0.656980846022934
AABR07020966.1	1.11013154854838	1.53927624241852	2.23052005748425	1.13367335481624	-0.282559154151252	-0.284401974300667	0.158571648058316	-0.50433368248533	-0.94631790219723	-0.941000921204895	-0.943867310701583	-1.16555055776173	-0.289952797773473	0.185788666926559	-0.655903365160079	-0.344073852516036
Gpr101	1.10927903510032	1.33031841383772	2.30111705118992	1.06785179245276	-0.76214430340819	-0.745926675287358	-0.737383417055157	-0.766483618361851	-0.746657378779764	-0.74297300484354	-0.803083560168571	-0.770656956157413	-0.357426246800874	-0.0127865019601362	-0.236801189323023	0.873756559565157
Dgkb	1.10136615292927	1.59198342984776	1.59305662345521	1.14474638737453	-0.966248433728552	-0.96452357258081	-1.12296612632768	-0.899462587154441	-0.806353107627233	-0.71294896069959	-0.623129746194962	-0.853014056069432	0.0431121514958772	-0.0124441156094263	0.953788344043266	0.533037616846225
LOC304725	0.927122937986639	1.52693525452696	2.08939036594497	0.84027660696905	-0.637786467761786	-0.601035200143135	-0.618746930815751	-0.667917067417129	-0.863497405073298	-0.849108661247545	-0.963302405869813	-0.916433468428872	-0.126787045620091	1.13111870123632	-0.670785936164539	0.400556721878026
