logFC	logCPM	PValue	FDR	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b
Rtn4rl1.1	-0.645602839316423	6.66495207269885	2.86342692787925e-08	6.38188011260456e-07	82.7425962116215	75.5403673324033	76.6800220940371	81.1765438910166	125.801502725116	106.518778048051	152.961489144973	109.304669936262
Cpd	-0.630579086169157	7.36778967954633	2.03688082431281e-12	9.62356433295189e-11	138.251583272846	126.271217584636	128.124975100484	125.4721547894	212.95381710388	201.712698221598	192.21250302139	195.288084433885
Ksr1	-1.39177140637042	5.3993165614582	1.08492513223713e-17	1.16028117242972e-15	30.9891916881048	19.7490244405813	21.5503370704629	20.5866973683135	77.3632130704322	63.5361149889712	49.3245743669561	53.5378261703063
Rhbdl3	-0.580124100523556	5.17785126843599	0.000809239001789315	0.00585128997310555	35.6425886885321	24.1841457675118	26.4165382736495	29.3927758224193	49.2765913446986	39.4211498968988	55.164215166271	29.0293999334385
Tmem114	-1.39054568460737	-0.0565370245929351	0.000203285446277949	0.00178404962903981	0.347050410908501	0.554797705366247	0.486696198743053	0.415751703659824	1.12661143891294	1.42147666521146	0.916860912598876	1.32299237127035
Ppm1e	-1.24038594081729	7.8893944576029	1.42031001573203e-13	8.30279532925385e-12	197.517028831052	112.892130054881	126.246734036487	127.134581973502	432.380985741269	318.758063277211	305.299710695488	275.629928005335
Rad51c	-0.805914257081443	1.32217101882942	0.000372432340201559	0.00298899160292071	1.66719345357013	1.80212245691838	1.73800625203844	1.66351324387563	3.02712973639798	3.13007493110363	2.67828225483474	3.20281068864393
Neurod2	-3.08795568257774	6.03633094662836	6.47878415689099e-16	5.58633163927926e-14	28.4971871467375	7.27025390221849	9.38216435363126	9.97835902684864	200.270190608716	70.3127796067635	105.690111503001	92.733912671439
Wnk4	-1.01848897547403	2.06398960153929	1.83770463477531e-07	3.526143691427e-06	2.70947312296568	2.6333923445708	2.64166964051909	2.70359471853209	5.56127054171388	5.12422372899865	6.40987464971286	4.59422275320548
Gfap	-0.823361311364292	9.22134024523552	4.88989621496436e-14	3.20700998658107e-12	464.356489745344	425.387270679627	431.579436962854	402.48215966823	831.191140480927	874.011376623218	625.818690964158	719.328958835328
Acbd4	-0.610202882030799	5.61250077262038	1.00440790422143e-05	0.000125971013151262	34.4569769185085	43.1785712669779	40.8783717036799	35.9768321884767	55.8971245210753	68.6538518864392	43.7594312711743	67.5342222003377
Acbd4.1	-0.610202882030799	5.61250077262038	1.00440790422143e-05	0.000125971013151262	34.4569769185085	43.1785712669779	40.8783717036799	35.9768321884767	55.8971245210753	68.6538518864392	43.7594312711743	67.5342222003377
Rprml	-0.648625447962891	4.95373791581109	1.07364017563e-06	1.74875323057751e-05	28.8337295688064	22.0371598162443	23.2192300218009	22.0429519391847	43.2222589322605	38.5629815000044	30.0893415568434	38.8490597317591
Wnt9b	-2.04452560018668	1.21835365355573	2.9079774404318e-08	6.47071883358017e-07	1.66969001410729	0.483871512658559	0.625150910105331	0.623090307845537	5.55702555545843	2.49546853355947	2.53874311958713	3.55069062267961
Limd2	-0.825084914158023	5.64881672594115	1.55088359232226e-09	4.46680376611229e-08	33.9713140883866	39.2276198182066	37.8193573667431	33.4118190835965	63.921708940022	79.6075696732199	47.3528913184603	65.0266286345077
Limd2.1	-0.825084914158023	5.64881672594115	1.55088359232226e-09	4.46680376611229e-08	33.9713140883866	39.2276198182066	37.8193573667431	33.4118190835965	63.921708940022	79.6075696732199	47.3528913184603	65.0266286345077
Limd2.2	-0.825084914158023	5.64881672594115	1.55088359232226e-09	4.46680376611229e-08	33.9713140883866	39.2276198182066	37.8193573667431	33.4118190835965	63.921708940022	79.6075696732199	47.3528913184603	65.0266286345077
Tcam1	-2.36837434754748	0.897934867155694	1.28095403554309e-07	2.52457741062177e-06	1.25264535945563	0.206750668032925	0.347100269952938	0.415391155474315	5.13368072215911	1.78463255757804	2.81861177361931	1.87855149107303
Prkca	-0.899552870649867	7.93179221997698	8.31125493557118e-15	6.00324990005969e-13	165.413969360098	174.646407731258	172.687546762768	168.59085420176	325.802920486926	377.162721360432	322.207960872104	245.901051829872
Rcn3	-1.07367348707547	3.70466105612443	3.68699118846658e-11	1.38598720534291e-09	10.3538278294059	7.20583016210759	7.78566211924192	7.90202836929888	20.9055958410432	17.6452521723789	17.6850509382379	13.7834480205508
Slc17a7	-2.3794510296525	10.1263760825717	1.39928047713947e-11	5.70968030338002e-10	689.948338831592	199.517544123302	254.160943651489	297.665198441144	2908.35451478036	1098.08887810446	2283.70690833058	1209.60097600433
Slc17a7.1	-2.3794510296525	10.1263760825717	1.39928047713947e-11	5.70968030338002e-10	689.948338831592	199.517544123302	254.160943651489	297.665198441144	2908.35451478036	1098.08887810446	2283.70690833058	1209.60097600433
Gabra5	-1.4793583257783	7.03690561180144	6.14044270456389e-12	2.67235165779696e-10	102.687906816564	51.695899910528	59.7158428979294	62.9426001570803	262.368032841642	191.254184746247	196.438907579387	122.460931529546
Cyfip1	-0.628045667739094	6.93383239231491	1.24728200447151e-07	2.46879519852066e-06	110.39427741697	86.6972610920816	91.3484812026027	95.3869091715622	164.589358543335	143.584009321631	165.505560962371	119.538316162912
Chrna7	-1.13742511459377	5.14303851805865	3.96322418628997e-08	8.72035739618125e-07	26.6106916267551	18.5014197804462	19.8816032644507	23.0156374611496	52.2343028314438	35.0168673360001	72.844824352651	33.5549352292057
Abracl	-0.592131301016172	3.70216731975183	1.26473111701295e-05	0.000154682894417647	11.6032618464691	9.70171266367379	10.0801804239143	9.70426976342826	17.1054165266814	16.0079333443339	13.4595911858485	15.3862818672796
Tmem50b	-0.794157076567012	7.06440833714254	2.21426378260382e-15	1.70659123713979e-13	101.77802253847	96.955987214003	97.7449183931631	94.7625186798488	180.429776290989	188.402878642974	161.281220941197	148.362244311664
Nhsl1	-0.909369199960849	6.11487381303849	3.55296484665445e-12	1.60185304001454e-10	56.0667756165446	42.9663858117733	45.1871626098917	48.0400888444176	99.682266175349	77.4892501500906	108.220967352515	75.7467080983388
B3galt5	-0.829183361996104	5.13886028164655	4.47659066585308e-16	4.01032758611098e-14	27.3037591018079	24.5330213956513	24.8183595002041	24.4700674806296	47.5883415467958	41.1997411334058	44.6006069532767	46.2985642880114
Akap13	-1.00986522565129	6.2781021441342	5.00088785432839e-15	3.70926069023196e-13	59.5403006637363	46.5704004149264	48.9413753943508	50.6047170608979	117.070171871679	103.311328536075	114.916278827264	78.8789880941143
Perp	-1.67046433241936	2.26986346360537	8.51420998164518e-08	1.75055202543632e-06	3.40677167559044	1.59214380756965	1.80670058782243	2.148678626535	8.86763968500604	4.20777572269714	10.4222872269524	5.08074087759892
Cpeb1	-0.785865046360955	5.20778316350617	1.5221726365576e-11	6.14031979355222e-10	31.4732580086554	24.6012565126906	25.7217720267942	26.3418672878688	51.6002655320168	40.9877602329357	49.3201773624656	44.5573527683151
Abhd17c	-0.657050361005474	4.73235885442395	1.84033765022788e-09	5.24572277325287e-08	19.4516740954506	21.6237039705027	20.9256675627721	20.10299055763	31.2574063344106	30.3128076972507	31.4251773083477	36.482776229462
Nxpe3	-0.87821780937101	5.10573541540548	2.16302961068095e-15	1.67646946679519e-13	24.3154755626997	24.4644565849378	24.3320035781097	23.5690078621606	46.4621909301529	50.1562685983754	43.0509358920199	38.0816945278182
Prss23	-1.57315738178022	4.3217072805736	3.45247807072206e-12	1.56678906130531e-10	11.812225973868	9.07748267949386	9.66293200315531	9.42696810888286	35.1259945554832	41.110067501948	27.1281593797572	15.6611897565535
