logFC	logCPM	PValue	FDR	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19	svz_16	svz_EXTRA_16	svz_17	svz_EXTRA_17
Fam43a	-0.724684558009659	2.47800679750898	1.21397982836307e-05	0.000172137684643368	3.99274710254991	4.1622211997247	3.69809855641025	4.60890052152889	6.34000332721662	5.93782849315798	6.90970794806879	8.03467636875873
Camk2n2	-0.717278765680312	4.32221234643221	4.89206322204997e-06	7.74135950408178e-05	18.4422282206362	16.4887182127129	13.2371942542155	12.0444139436895	29.9598160635252	23.0238446590408	27.3167989366323	18.7080182939441
Insc	-0.716930127824379	3.95283849704807	0.000194772253234121	0.00178933157995549	11.3105778897335	7.36426759107292	17.304381291598	10.5500359651253	22.2497411322489	17.8721283517045	16.9272894918453	19.4468652752245
Rtn4r	-1.2371859730071	4.01094635851437	5.28273503064503e-06	8.24811029451378e-05	14.3776338435988	9.81855840610658	8.19998124596612	5.77683105014912	34.1796392658954	17.6049473663306	25.1205635158702	13.1415918042451
Rtn4r.1	-1.2371859730071	4.01094635851437	5.28273503064503e-06	8.24811029451378e-05	14.3776338435988	9.81855840610658	8.19998124596612	5.77683105014912	34.1796392658954	17.6049473663306	25.1205635158702	13.1415918042451
Sdf2l1	-0.735101149567483	3.27851372853357	6.38030486047115e-08	1.7442810097148e-06	7.81132027508303	6.56358282274026	7.39489864564201	7.03552678089556	13.1633768587833	10.0369110103841	11.9983962211072	12.7620714304097
Tmem159	-0.638644304481952	2.42731260361849	6.91560247767488e-05	0.000745230414235332	4.37666265706491	3.57532779576344	4.55437624886535	3.9827271869504	7.10309080210256	5.67526993903297	6.32069082474445	6.58597691321915
Doc2a	-0.781019067782266	2.65608384838354	0.000182808473486103	0.00169559384120576	5.80727291466398	4.05557469272688	4.23382955735531	4.13583218469882	9.68544041829939	4.98674038290528	7.82040540356368	8.85549267994458
Doc2a.1	-0.781019067782266	2.65608384838354	0.000182808473486103	0.00169559384120576	5.80727291466398	4.05557469272688	4.23382955735531	4.13583218469882	9.68544041829939	4.98674038290528	7.82040540356368	8.85549267994458
Nkx6-2	-0.640401541695979	4.985847889559	0.000667823476283853	0.00502907582461988	23.8395283080226	15.2619009149524	37.0235873809308	22.6051290180174	44.6196528291722	35.0618062788422	33.5859902249036	40.6450824158082
