logFC	logCPM	PValue	FDR	Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_24_2b	Bo_25_2b	Bo_20_2b	Bo_21_2b
Gpr26	-0.684458810951062	4.98879665209446	8.97985197661887e-07	3.28192209145475e-05	23.349893892128	29.018141622651	21.2361970443384	23.35937966975	34.449209101992	50.8311107459658	29.7047702693565	40.8478411283785
Nptx2	-0.810692886081504	4.93963952653586	2.9869693031678e-18	1.58711465089473e-15	23.9061683086083	20.9269203631571	19.9927254633369	23.7544707038853	40.7145725513192	33.1399641400118	40.1243530850865	41.4077998087759
Hspb1	-1.22716757274027	2.38278572400217	3.17243472525592e-16	1.18451853322731e-13	3.0488080044672	2.5538539191133	3.45977683509651	3.00080270753495	7.72227670222136	7.3625291484375	6.10352073577064	7.12861900211436
Tmem270	-1.00650775709783	1.52845781094525	0.000169276820041438	0.00294158398600311	1.36593297130954	2.56691035946937	2.05942273091785	1.22164889103713	2.74051094724055	5.43094222459959	3.63930911210987	2.72629541401724
Rspo3	-1.34745226979213	2.19297572377145	1.86079512136084e-10	1.90421367419259e-08	2.08776289957957	2.32422837713324	3.69309328420681	1.79000697929996	6.19684874377702	6.6989788038495	7.68660555652342	4.65042343360283
Vash2	-0.833551343835689	2.05534486775343	0.000695764919925014	0.00905937075284078	2.24914418737982	3.49514148811657	3.70071989391431	2.03442835669188	4.26895073179053	7.73704598433394	4.54532912545219	3.92838975722593
LOC304725	-0.856182541166114	4.83728617048145	2.47037292375241e-08	1.44611025176439e-06	17.3366574432813	21.8715662723013	25.4616947138499	16.2364262007006	33.7224141552481	49.4146710650446	32.3370082752812	31.0046560358377
Cntnap5b	-0.994966446179927	4.7018028053683	3.75115629627198e-12	6.16931240869017e-10	14.8488687552976	20.4080088762359	20.360094006183	13.398920259797	30.5058196590137	41.2574204572741	37.7321512699379	28.1222365342942
Mfsd4a	-0.8206769010941	3.348007801719	3.44312465032844e-08	1.91246113148827e-06	6.82131194207694	8.69538177625027	7.10071925490813	6.25121324439653	11.351309268241	11.928450726884	16.5213404817751	11.2172660713996
Rgs16	-0.657491325242235	2.96478428061685	1.23744031433044e-07	5.7366570276762e-06	5.93733030188415	5.97000058604688	5.86179885281932	5.92017910764178	9.33468803236339	10.4970082034766	7.94866030450484	9.69105126037726
Itpkb	-0.589512021960274	5.69000674524462	1.93281886319735e-08	1.18149967234829e-06	39.0767050257714	35.8796930319608	51.0419503852987	38.3661079778762	65.9802435040332	68.6700878925176	54.7384479965692	57.994223170664
Fgfrl1	-0.6465859849813	3.62038051941134	1.38962763949556e-08	8.84686905052126e-07	9.22766797675608	10.4739197766185	9.00295539335959	9.08523809068696	14.0044732518963	17.2724801956741	12.867335792716	15.1378942696979
Fgfrl1.1	-0.6465859849813	3.62038051941134	1.38962763949556e-08	8.84686905052126e-07	9.22766797675608	10.4739197766185	9.00295539335959	9.08523809068696	14.0044732518963	17.2724801956741	12.867335792716	15.1378942696979
Lgi2	-0.762370904901817	6.89993384178953	1.31421463906745e-05	0.000334113155907126	74.3869894650991	127.529307807219	84.1257179946683	67.7453751317733	117.022358618795	195.741014122827	159.185685434678	128.16522661766
Fndc1	-1.37558371092565	2.05076806478695	2.25190247646942e-12	4.04026398862663e-10	2.00678506394379	2.95412816309411	1.90378452141483	1.9487443380823	4.83241695772073	7.42303516580144	5.11478926133226	5.60730708082335
Nefh	-0.59913406468223	6.8301276843793	7.89695893568326e-07	2.95067940396632e-05	81.6843961595209	113.776438782838	90.4691730441138	75.3600524885927	118.624500601721	149.950041158612	158.755833448203	120.074006647914
Gjb2	-1.0022741388301	2.28706580048827	0.000160338911473535	0.00281817056234972	2.80966057843823	3.17879894477399	3.78687048607739	2.84114057894868	5.71597250420752	10.2828711388625	3.32815309877118	5.9283218709968
Pnoc	-0.647176839739116	2.37670865545516	2.64939452514248e-06	8.35648067690488e-05	3.93146331284753	4.26735590971281	3.5551175099453	3.89292985345382	5.87560825253131	6.37004420453223	5.9884333801757	6.3272435446831
Klhl1	-0.66011534878877	2.208378150454	0.000657331935966022	0.00868168326517265	2.89073016141337	3.95886944486155	4.27912628004159	2.68256005422548	4.91132076248277	7.25528914348942	5.12507730875257	4.56830040678608
Calr3	-0.80538392442198	1.29741054450098	8.66017670359351e-05	0.00168507522760767	1.60502457886246	1.70591149921809	1.81365622634275	1.54211585805847	2.89713190933452	2.89756743933901	3.22416727785466	2.6442445155661
Hapln4	-0.699996423845162	5.91129437554306	1.43538476803081e-07	6.52297387182424e-06	39.8033431743098	56.5516111267246	49.8374236785748	36.6780526009435	64.3063545322599	91.4804130951984	77.8174107117863	63.5252687349451
Tll1	-0.590013287655523	2.83608073800168	0.000271454398211732	0.0042956958892269	5.05662728110363	6.83394545248362	5.69393509534685	4.62946505342702	7.32718119376443	8.2785522076358	10.7128355884743	7.13206711335912
Gadd45g	-0.76866493574585	2.13932009903309	2.28825708043318e-06	7.38604475845429e-05	3.209106127983	2.94410583271113	3.13690007567302	3.24302864309985	5.55151832866003	6.03167696146452	4.1666339579597	5.68595465877916
Gadd45g.1	-0.76866493574585	2.13932009903309	2.28825708043318e-06	7.38604475845429e-05	3.209106127983	2.94410583271113	3.13690007567302	3.24302864309985	5.55151832866003	6.03167696146452	4.1666339579597	5.68595465877916
Card19	-0.653126793444763	1.75267684190296	0.000124003559293442	0.00228110409006511	2.48732860589003	2.79408975359178	2.23314291237068	2.43351843259726	3.70282412868868	3.97232883727811	3.99895207394906	4.00468208190062
Ssc5d	-0.634887995950829	3.07104110472537	3.65058952697376e-08	1.99339503221907e-06	6.57879250467656	5.73112030077182	7.09028314845514	6.40703689341019	10.7800619840239	9.44298460994924	9.98946347317394	9.85254061529315
Ssc5d.1	-0.634887995950829	3.07104110472537	3.65058952697376e-08	1.99339503221907e-06	6.57879250467656	5.73112030077182	7.09028314845514	6.40703689341019	10.7800619840239	9.44298460994924	9.98946347317394	9.85254061529315
AABR07027407.1	-1.42969932422656	1.97454369138305	6.97045404140501e-16	2.34870298980513e-13	2.00601621967105	1.85878181816936	2.38777308517713	1.86681093418513	5.71235338185326	4.9739774957687	6.31158009164572	4.88783093914595
LOC103694210	-1.16469029478733	2.01840862260127	6.30008576131285e-12	9.77929042612775e-10	2.16733542520824	2.56009194177463	2.79975673047577	2.03067525717894	5.15121090784017	5.86912078111523	5.79631626459321	4.64792201489328
Cd74	-1.38886161127752	2.76024770196872	1.17258645961895e-06	4.13749527901308e-05	3.29118235135098	4.19151700669455	3.79542100017838	3.40836833081411	7.97265004609336	16.5397534389753	4.49798355981323	9.37194704229994
Mc4r	-0.77769090538048	2.4621976357629	3.00702509642669e-05	0.000681017241100569	3.2921526115991	4.73697801657344	4.69332955030213	3.00799698671559	5.87821978793904	8.74398235119282	6.8540927690879	5.53023218603406
Fxyd5	-0.663976993589256	2.6361724472013	8.66402676774118e-07	3.20036175926054e-05	4.49387155499879	5.12088584230099	4.70491278450191	4.38165358464295	7.08291053933154	8.5099894627664	6.83016958460019	7.28935118685233
Fxyd1	-0.627773855714272	4.16873852928962	4.09428958496638e-09	3.04100057076939e-07	14.6010640332215	13.2527922720662	13.1334715573547	14.9974681645932	22.3687912321038	22.998235706626	17.4707104835482	23.7854479899881
Chst8	-0.724695790695484	2.23320338129378	1.79028242851872e-05	0.000438383486649944	3.52989146919197	2.47206283185717	4.11611380833625	3.56707802476607	6.67412996272618	5.30267565721209	4.96968754819363	5.68691655342331
