Gene	DG_logFC	CA_FC	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	Bo_20_5b	Bo_21_5b	Bo_24_5b	Bo_25_5b
Aldh3b1	Aldh3b1	0.888767006	-0.681774678	-0.38192021738642	-0.0619766846898084	-0.199362711834957	-0.325618602656578	1.76064885372007	2.01432035886576	1.31989856689914	2.39501419814119	1.24885523387336	1.71486593354816	0.156335205062047	0.479902629520825	-0.496211976315259	-1.03689852137423	0.522247542816746	-0.712001979888267
Kcnh8	Kcnh8	0.886299081	-0.849065883	-0.472310824805224	-0.328490958630121	-0.398344453693081	-0.402938824072451	1.52761545783455	1.72139218250537	1.82890912043406	0.680930046404282	0.31530949927234	0.684582937512038	0.42158515824318	0.0964099662699368	-0.950473483335954	-0.847865176386856	-0.286821896031749	-1.63467035741562
Dkk3	Dkk3	0.859246966	-0.711321	0.558973985016404	0.0928983510491219	0.143169255072716	0.179534777987293	2.06478526915825	1.42633367744496	1.7675019105902	1.18351376416156	1.41500759212656	1.52861759662452	1.15030295824429	1.22152542046154	0.281555715293929	0.137024582618965	0.410414644815276	0.241223357308853
Camkk1	Camkk1	0.827987008	-0.856908733	-0.325672157790897	0.37233737587718	0.125985120031808	0.0613724630473908	1.24176604540524	1.28146782125173	1.99817076441294	2.23357656835946	1.57605166857429	1.7529536261389	1.17460608881411	1.2921275181117	-0.107788457435228	-0.245834969130667	0.195830108711022	-0.262003816650741
Meltf	Meltf	0.800654808	-0.768231919	-0.0164509728394915	0.165416098237137	0.076224589898734	0.118376702271341	1.56591277758369	1.92968427513756	2.3126733222128	0.247449514061823	1.57431127695651	0.858226083814393	0.546955915012213	2.11003145100169	-0.354834197023674	0.112404969749313	-0.0725245389198618	0.354238899229522
Medag	Medag	0.711501565	-1.222638335	-0.0880922956487401	0.264424703757932	0.161381191792766	-0.0207267934729879	1.3856191882436	2.21750196484158	0.567999401604911	1.91334123761555	1.41740165918931	2.04479435020177	1.02794740072079	0.774910954787789	-0.516764579281914	-0.982344897416123	-0.397643944197646	-0.675886018847689
Rasl10a	Rasl10a	0.677547888	-0.674512504	-0.289185854612822	0.404127989226421	0.159694617095866	0.148410571731377	0.53227858589884	0.264349960609577	1.63213172231579	2.02329337964969	1.52272846418737	1.69163334311882	1.89101082542583	1.45653868161749	0.583782307777427	0.550750909831705	0.384402203966481	0.332205491300772
Dgkh	Dgkh	0.650101376	-0.705480963	-0.957167875353002	0.0293006989515188	-0.290969255868208	-0.50729547226784	0.564702220247739	0.92340359977128	0.547299611173239	2.9721532291876	0.629202799485786	1.83130058901539	-0.121644008022811	-0.532473822092518	-0.804026011912052	-1.80894254141354	0.380091871608546	-1.59860116159918
Vgf	Vgf	-0.592605177	0.640299457	0.972418350546217	-0.554970857603481	-0.177635124157742	-0.18856414637104	-0.821629472620305	-0.85961624569167	-1.70792985614633	-1.24908564275362	-1.4167449078472	-1.37980775277669	-0.990744878932289	-1.36363008697389	0.148571669184478	0.127137394626923	-0.446356416529198	-0.110655766035255
Adcy8	Adcy8	-0.61244295	0.801146996	1.2144899550952	0.417320186795803	0.676971711718447	0.684268309449469	-0.389022533737646	-0.269747910107377	-0.851804604141359	-0.662416642949929	-0.373512806382674	-0.51574338904781	-0.186581154776852	-0.218145878145181	1.67329567679333	1.53597233226649	0.57146791956648	2.83086868015449
Fosb	Fosb	-0.654939322	0.651289293	1.65178491019892	-0.0186771117714375	0.341125244476545	0.55253382265396	-0.303410888817381	-0.746864912493445	-0.656985261903129	-0.92907534830687	-0.305511515733714	-0.214510947838572	0.5744865918869	-0.189350878855693	1.86344104494638	2.44474047432117	1.42481323360748	0.657574103366436
Hrh3	Hrh3	-0.660292801	0.772705348	-0.0744415450136343	-1.06877742840707	-0.84884616244847	-0.648973665737631	-1.47372366639997	-1.94063366811433	-1.37428536033412	-1.69925907610688	-1.22574875699352	-1.02709474837413	-0.290358850412169	-1.22827622372479	1.36641129885618	0.997399277506482	0.019185084824825	0.54530922765108
Rab3b	Rab3b	-0.71104419	0.743340648	0.893722160317137	-0.546501608136884	-0.272332350940634	0.126865413262546	-0.975315951716736	-1.79198460553439	-0.363954785607993	-1.30080563320808	-1.06112809381318	-1.32647210944075	-1.06139538944061	-0.767107570072381	-0.0398208582560631	0.605572351012995	-0.323342130083797	0.648141002198365
Dach1	Dach1	-0.717388314	1.052722009	-0.724268968232938	-0.706684084441408	-0.706153101422133	-0.694875344371322	-0.873633599175526	-0.90833938421526	-0.818980109746683	-0.785983397956486	-0.905434159092579	-0.920297572612435	-0.867627502611514	-0.874357397961799	-0.790827770062914	-0.54058579555498	-0.650922600698289	-0.918826705048009
Dleu7	Dleu7	-0.730779751	0.71636542	-0.549661372388209	0.522911823844226	0.382277491188199	0.276187040635365	-1.71676074336787	-1.29843251911858	-1.31967440324535	-1.10410070121282	-1.15370703576724	-1.54333343135885	-0.92965378833101	-0.601997483648164	0.21779366832766	1.53140864683195	-0.497879017189679	1.15456921531492
Calb2	Calb2	-0.771279107	0.884869882	0.260265180556954	-0.71194723315747	-0.523758661421963	-0.310918354564926	-1.02446437572245	-1.52519459422473	-0.825387776105432	-1.07842501979914	-1.04809220911209	-1.14577618295324	-0.526952255777345	-0.79943466723474	0.303988474845874	0.874472048159044	-0.665786965106437	0.576383046167737
Timp2	Timp2	-0.778829944	0.663309939	2.02855251223887	-0.669307303235907	-0.188093047450305	0.400311817095841	-0.875439633399928	-2.08273327472107	-0.270053530968623	-1.69906205822612	-0.782191891999108	-0.581204815995575	0.724147041425623	-0.660832761817131	2.30450629880081	2.29563564551711	0.374764360905717	1.26029291863769
Sik1	Sik1	-0.78974484	0.929888083	1.20101429232427	-0.473887963768768	-0.104680393412598	0.12590952478428	-0.977380660338136	-1.47847070543931	-1.18747731099554	-1.43186883379941	-1.57582981303215	-1.68231638059111	-1.58283754764422	-1.48839581951982	-0.149669294303792	-0.137994513626891	-0.489939228297146	0.431062912983071
LOC691995	LOC691995	-0.790749535	1.44552453	-0.266552545379531	-0.956355621074435	-0.826612479225506	-0.713454375926497	-0.958138700274543	-1.1880749704205	-0.954881177691795	-1.24028519530977	-1.08318077840522	-1.04821537372708	-0.878170687901885	-1.07635805099762	0.176156908083675	0.194707254120045	-0.0218120446558377	-0.314861422436598
AABR07052897.3	AABR07052897.3	-0.831273948	0.84398841	1.88775968245761	0.348881792726092	0.745493549110634	0.767486833173472	-0.597831036109571	-0.662283512890113	-1.3206948846575	-0.71473058010553	-1.16397277382094	-1.20869710223693	-1.71650033417109	-1.33168799618929	-0.216586176263311	-0.591988136007484	1.09875115358144	-0.0816315641676737
Nhs	Nhs	-0.852618306	0.689043741	-0.165879882847136	-0.155754327091711	-0.114935447715009	0.145051768444259	-1.08095368838894	-1.19792891243002	-0.255445108443139	-1.37992653345818	-1.1799273613803	-1.00392282296707	-0.992519890292528	-1.30155135963663	-0.278157884293764	-0.626804038299155	-0.239804268942703	-0.862326712797837
Smoc1	Smoc1	-0.893225217	0.655450338	-0.00530020009847104	0.592471094512257	0.498691151694273	0.59011361229953	-1.90719670035345	-2.05695218139606	-1.43225847588283	-0.761711642946123	-1.46214943690699	-1.61026072164541	-1.46976558192289	-1.29677754799752	-0.333378595648843	0.242695714618696	0.0820016376189354	-0.517304945856259
Slc7a3	Slc7a3	-0.909410117	0.871348048	0.712844249558628	-0.255795512280592	-0.0449573959135907	0.362362284776564	-1.28004273696615	-1.92920088668745	-0.549334653577241	-1.09059792796994	-0.954222063159916	-1.22594246710464	-1.00320028242451	-0.702043064081555	0.331079990256073	0.901376595584943	0.0205996561749472	1.11833820932469
Syt9	Syt9	-0.911888349	1.60639433	-0.453510824601589	-0.927544774440199	-0.823718687876558	-0.80461740393651	-1.07910875086503	-1.22068623189637	-1.22340164103366	-0.961116510569334	-1.21685051673875	-1.19919287565747	-0.924149566755952	-1.18487549484854	-0.125381996299634	-0.0595115518681277	-0.767160601112435	-0.469105122352169
Itpr3	Itpr3	-0.913151711	0.701459663	1.9089715905952	1.58435121348936	1.69796566627902	2.07637599261122	-0.840680356513493	-1.49814380364784	0.0529993509247916	0.118696011097616	-0.937314193460642	-1.02678751288256	-1.16102402824254	-0.962518438957652	0.212254685314581	0.158045519808057	0.680824890419299	0.271231363630892
Mmp9	Mmp9	-0.918765918	0.856652806	1.58085734434231	0.711042128403794	0.887301293660725	1.18642730890318	0.154789885432258	-0.184891261842565	0.592983315546632	-0.202850529522241	0.400159668990774	0.302231475031868	0.721087739863444	0.530420842966163	1.77086911285302	2.21538084493113	1.34874606600872	1.6276446331757
Meis1	Meis1	-0.937559824	0.831141377	-0.673888973555297	-0.627207311462663	-0.606351842337984	-0.637362985503066	-1.2192639959691	-1.214239018348	-1.27657420245274	-0.871079690500688	-1.14811857531514	-1.13515842080344	-1.28688278927499	-1.20868562818839	-0.897199204847019	-0.984761713205769	-0.390311029556281	-0.987474577527309
Fras1	Fras1	-0.937577409	1.124473878	1.39194079473084	-0.966701255348477	-0.539362527201373	-0.272100998293841	-0.874884859651729	-1.42270233881319	-1.23197659905156	-1.77257934049754	-1.08880299690494	-0.980056236180962	-0.195654312665256	-1.01674448320793	2.00624752159664	1.95588203456232	0.493253162030861	1.13322048476225
Cadps2	Cadps2	-0.948216943	0.610016993	0.26690480940798	1.49209930872422	1.21028068885588	1.10733390419735	-0.574011501584658	-0.449458506934004	-0.272116969335067	0.600624707369779	0.292312072765217	0.110019704130757	1.07707088021146	0.715631315095641	1.62113645245601	2.61619181161988	0.476157664407451	1.89828901846463
Sntb1	Sntb1	-0.970423087	0.595704153	0.905853218959256	0.575648774537084	0.760937855442059	0.816483808006209	-1.53605333857952	-1.64462049596455	-1.56557239677009	-0.930053478297658	-1.49567766570377	-1.54160485085963	-1.5200889329763	-1.45939437836478	-0.437124802519392	-0.280315684350265	-0.156976725350614	-0.622564947940273
Pcdhga1	Pcdhga1	-0.97503308	1.218555298	1.71272583315726	0.535891965039057	0.906880129231517	0.827247136984898	-0.405784282277545	-0.0886905314297063	-1.06727332728825	-0.643593402323468	-1.29984423604178	-0.980164050240712	-0.479735999955709	-1.46479219376406	1.12339288924853	0.525859186529471	0.831743771603465	-0.93366795420959
AABR07048211.1	AABR07048211.1	-1.008914732	1.043725576	-0.217321040271492	-0.403176051770732	-0.353716360053206	0.051613464901242	-1.72002134180267	-2.12570058360409	-0.569088983933559	-1.68655669992877	-1.14229758471551	-1.10156632258282	-0.0678702241079335	-0.965699054298022	1.84752257603653	2.49760111631171	0.443589788504047	0.784802883881232
RGD1311744	RGD1311744	-1.021201802	0.877881383	-0.564987738114679	-0.412638192526951	-0.429035716123654	-0.0853505781913708	-1.57729128743094	-1.82471290796316	-0.47635619923645	-1.53723039487128	-0.816776239813795	-0.90837722977649	-0.518214142416193	-0.622470454800934	0.511364076551747	1.44768639404172	0.662880496199574	-0.0615850845426718
Meis2	Meis2	-1.03965092	0.611271226	-0.323568519145312	-0.676143319894117	-0.567805925391199	-0.624397438297973	-1.02204560493219	-0.973473607835474	-1.24447048532644	-0.889546284414066	-0.915729643526013	-0.830983098973237	-0.91964780475052	-0.998161246764828	-0.576631819110011	-0.739496823321187	-0.311895951181223	-0.853261599547369
Prkg2	Prkg2	-1.045665078	0.771783825	-0.00837310086035357	-0.863605041713606	-0.669918971808652	-0.537955927483078	-1.34390807511144	-1.62525209375617	-1.39067117943926	-1.35415812551913	-0.902886203756779	-0.828681177455515	-1.19984775316711	-1.08607550666739	-0.113261065576299	-0.630799367429598	0.434751020778813	-0.0560554862453806
Myh7	Myh7	-1.047868494	0.818901536	-0.205537968410029	-0.852284820645206	-0.707281500545137	-0.685763237077139	-1.15869964145554	-1.17568390158336	-1.39825675077434	-1.30854240127439	-1.04749257726441	-1.12578768143635	-0.918655806954217	-0.906336839245683	-0.487526924309274	0.0480506256004819	-0.474464846443981	-0.595660948298269
Pafah1b3	Pafah1b3	-1.055907465	0.847763338	1.58629311927723	1.20909825517469	1.40185957955914	1.90189034920434	-1.09652799314621	-1.49713631439765	0.0278928169036365	-1.35100976191956	-1.0749884863521	-1.06853662556394	-0.443906139010383	-0.908932588793183	1.26605972678289	1.70065190349524	0.468367062684273	0.812232586641128
Atp6ap1l	Atp6ap1l	-1.060671613	1.305783029	-0.668353562010105	-0.753282766931071	-0.710382970452216	-0.753531795929682	-0.990596517547664	-0.923907070999754	-1.0892643058968	-0.923201292611754	-1.03502124593409	-1.03061871687885	-1.04005199357677	-1.03981600104446	-0.778439988652444	-0.7969570289158	-0.640423398560957	-0.859925467605784
Syndig1l	Syndig1l	-1.122687917	1.283934976	-0.679008353705545	-0.825540985461148	-0.798617394381644	-0.786309049688505	-0.832858869272413	-0.855845443370275	-0.865987131614635	-0.871400714429211	-0.86985690921163	-0.849307652530104	-0.877151899559365	-0.888051025236292	-0.792675589287987	-0.844704873052012	-0.666495991904551	-0.86098365222912
